ImageID,ProductID,ImagePath,AltText,IsMain,SortOrder,CreatedAt
1,1,https://loremflickr.com/800/600/chair?lock=1,Oak Dining Chair Front,1,1,2023-10-27 10:00:00
2,2,https://loremflickr.com/800/600/chair?lock=2,Modern Accent Chair Front,1,1,2023-10-27 10:00:00
3,3,https://loremflickr.com/800/600/chair?lock=3,Leather Office Chair Front,1,1,2023-10-27 10:00:00
4,4,https://loremflickr.com/800/600/chair?lock=4,Velvet Lounge Chair Front,1,1,2023-10-27 10:00:00
5,5,https://loremflickr.com/800/600/chair?lock=5,Plastic Outdoor Chair Front,1,1,2023-10-27 10:00:00
6,6,https://loremflickr.com/800/600/chair?lock=6,Folding Wooden Chair Front,1,1,2023-10-27 10:00:00
7,7,https://loremflickr.com/800/600/chair?lock=7,Rattan Armchair Front,1,1,2023-10-27 10:00:00
8,8,https://loremflickr.com/800/600/chair?lock=8,High Bar Stool Front,1,1,2023-10-27 10:00:00
9,9,https://loremflickr.com/800/600/chair?lock=9,Rocking Chair Front,1,1,2023-10-27 10:00:00
10,10,https://loremflickr.com/800/600/chair?lock=10,Gaming Chair Front,1,1,2023-10-27 10:00:00
11,11,https://loremflickr.com/800/600/table?lock=11,Glass Dining Table Front,1,1,2023-10-27 10:00:00
12,12,https://loremflickr.com/800/600/table?lock=12,Rustic Farmhouse Table Front,1,1,2023-10-27 10:00:00
13,13,https://loremflickr.com/800/600/table?lock=13,Round Coffee Table Front,1,1,2023-10-27 10:00:00
14,14,https://loremflickr.com/800/600/table?lock=14,Nesting Side Tables Front,1,1,2023-10-27 10:00:00
15,15,https://loremflickr.com/800/600/table?lock=15,Marble Console Table Front,1,1,2023-10-27 10:00:00
16,16,https://loremflickr.com/800/600/table?lock=16,Study Desk Front,1,1,2023-10-27 10:00:00
17,17,https://loremflickr.com/800/600/table?lock=17,Outdoor Picnic Table Front,1,1,2023-10-27 10:00:00
18,18,https://loremflickr.com/800/600/table?lock=18,Folding Card Table Front,1,1,2023-10-27 10:00:00
19,19,https://loremflickr.com/800/600/table?lock=19,Bedside Table Front,1,1,2023-10-27 10:00:00
20,20,https://loremflickr.com/800/600/table?lock=20,Adjustable Standing Desk Front,1,1,2023-10-27 10:00:00
21,21,https://loremflickr.com/800/600/bed?lock=21,King Bed Front,1,1,2023-10-27 10:00:00
22,22,https://loremflickr.com/800/600/bed?lock=22,Single Bed Front,1,1,2023-10-27 10:00:00
23,23,https://loremflickr.com/800/600/bed?lock=23,Queen Upholstered Bed Front,1,1,2023-10-27 10:00:00
24,24,https://loremflickr.com/800/600/bed?lock=24,Bunk Bed Front,1,1,2023-10-27 10:00:00
25,25,https://loremflickr.com/800/600/bed?lock=25,Storage Platform Bed Front,1,1,2023-10-27 10:00:00
26,26,https://loremflickr.com/800/600/bed?lock=26,Four Poster Bed Front,1,1,2023-10-27 10:00:00
27,27,https://loremflickr.com/800/600/bed?lock=27,Trundle Bed Front,1,1,2023-10-27 10:00:00
28,28,https://loremflickr.com/800/600/bed?lock=28,Sleigh Bed Front,1,1,2023-10-27 10:00:00
29,29,https://loremflickr.com/800/600/bed?lock=29,Daybed Front,1,1,2023-10-27 10:00:00
30,30,https://loremflickr.com/800/600/bed?lock=30,Minimalist Futon Front,1,1,2023-10-27 10:00:00
31,31,https://loremflickr.com/800/600/sofa?lock=31,3-Seater Sofa Front,1,1,2023-10-27 10:00:00
32,32,https://loremflickr.com/800/600/sofa?lock=32,Corner Sofa Front,1,1,2023-10-27 10:00:00
33,33,https://loremflickr.com/800/600/sofa?lock=33,Loveseat Front,1,1,2023-10-27 10:00:00
34,34,https://loremflickr.com/800/600/sofa?lock=34,Sofa Bed Front,1,1,2023-10-27 10:00:00
35,35,https://loremflickr.com/800/600/sofa?lock=35,Chesterfield Sofa Front,1,1,2023-10-27 10:00:00
36,36,https://loremflickr.com/800/600/sofa?lock=36,Recliner Sofa Front,1,1,2023-10-27 10:00:00
37,37,https://loremflickr.com/800/600/sofa?lock=37,Modular Sofa Set Front,1,1,2023-10-27 10:00:00
38,38,https://loremflickr.com/800/600/sofa?lock=38,Mid-Century Sofa Front,1,1,2023-10-27 10:00:00
39,39,https://loremflickr.com/800/600/sofa?lock=39,Futon Couch Front,1,1,2023-10-27 10:00:00
